This list contains all games supported by FinalBurn Neo.

724 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| dinogae	|  	| Cadillacs and Dinosaurs (GOTVG 10th Anniversary Edition, Hack)| dino	| 2021-03-03| Hack		| CPS1 / QSound	| 					| dinogae.bin| src/burn/drv/capcom/d_cps1.cpp|
| dinoeh	|  	| Cadillacs and Dinosaurs (hack, 930201 etc)		| dino		| 1993	| Capcom	| CPS1 / QSound	| 					| dinoeh.23| src/burn/drv/capcom/d_cps1.cpp|
| dinot		|  	| Cadillacs and Dinosaurs Turbo (bootleg set 1, 930223 Asia TW)| dino		| 1993	| bootleg	| CPS1 / QSound	| 					| kl2-r1.800| src/burn/drv/capcom/d_cps1.cpp|
| dinotpic	|  	| Cadillacs and Dinosaurs Turbo (bootleg set 2 (with PIC16c57), 930201 etc)| dino| 1993	| bootleg	| CPS1		| No sound				| cd-d.800| src/burn/drv/capcom/d_cps1.cpp|
| dinoj		|  	| Cadillacs Kyouryuu-Shinseiki (930201 Japan)		| dino		| 1993	| Capcom	| CPS1 / QSound	| 					| cdj_23a.8f| src/burn/drv/capcom/d_cps1.cpp|
| cscluba	|  	| Capcom Sports Club (970722 Asia)			| csclub	| 1997	| Capcom	| CPS2		| 					| csca.03| src/burn/drv/capcom/d_cps2.cpp|
| csclub1d	|  	| Capcom Sports Club (970722 Euro Phoenix Edition)	| csclub	| 1997	| bootleg	| CPS2		| 					| csce_d.03| src/burn/drv/capcom/d_cps2.cpp|
| csclub1	|  	| Capcom Sports Club (970722 Euro)			| csclub	| 1997	| Capcom	| CPS2		| 					| csce.03| src/burn/drv/capcom/d_cps2.cpp|
| csclubh	|  	| Capcom Sports Club (970722 Hispanic)			| csclub	| 1997	| Capcom	| CPS2		| 					| csch.03| src/burn/drv/capcom/d_cps2.cpp|
| csclubj	|  	| Capcom Sports Club (970722 Japan)			| csclub	| 1997	| Capcom	| CPS2		| 					| cscj.03| src/burn/drv/capcom/d_cps2.cpp|
| csclubjy	|  	| Capcom Sports Club (970722 Japan, yellow case)	| csclub	| 1997	| Capcom	| CPS2		| 					| cscj.03| src/burn/drv/capcom/d_cps2.cpp|
| csclub	|  	| Capcom Sports Club (971017 Euro)			| 		| 1997	| Capcom	| CPS2		| 					| csce.03a| src/burn/drv/capcom/d_cps2.cpp|
| captcommjr1	|  	| Captain Commando (910928 Japan)			| captcomm	| 1991	| Capcom	| CPS1		| 					| ccj_23b.8f| src/burn/drv/capcom/d_cps1.cpp|
| captcommu	|  	| Captain Commando (910928 USA)				| captcomm	| 1991	| Capcom	| CPS1		| 					| ccu_23b.8f| src/burn/drv/capcom/d_cps1.cpp|
| captcommr1	|  	| Captain Commando (911014 World)			| captcomm	| 1991	| Capcom	| CPS1		| 					| cce_23d.8f| src/burn/drv/capcom/d_cps1.cpp|
| captcommj	|  	| Captain Commando (911202 Japan)			| captcomm	| 1991	| Capcom	| CPS1		| 					| ccj_23f.8f| src/burn/drv/capcom/d_cps1.cpp|
| captcomm	|  	| Captain Commando (911202 World)			| 		| 1991	| Capcom	| CPS1		| 					| cce_23f.8f| src/burn/drv/capcom/d_cps1.cpp|
| captcommb	|  	| Captain Commando (bootleg set 1, 911014 other country)| captcomm	| 1991	| bootleg	| CPS1		| 					| 25.bin| src/burn/drv/capcom/d_cps1.cpp|
| captcommb2	|   NW	| Captain Commando (bootleg set 2 (with 2xMSM5205), 911014 other country)| captcomm| 1991| bootleg	| CPS1		| unemulated graphics			| 5.bin| src/burn/drv/capcom/d_cps1.cpp|
| captcommb3	|  	| Captain Commando (bootleg set 3 (with YM2151 + 2xMSM5205), 911014 other country)| captcomm| 1991| bootleg| CPS1		| 					| 5.bin| src/burn/drv/capcom/d_cps1.cpp|
| captcommp4	|  	| Captain Commando (Enhanced edition 1 V 4, Hack)	| captcomm	| 2015-12-05| hack		| CPS1		| 					| captcommp4_23d.8f| src/burn/drv/capcom/d_cps1.cpp|
| captcommr1pwx	|  	| Captain Commando (Unlimited Bullet)			| captcomm	| 2021-02-24| Hack		| CPS1		| 					| ccub.bin| src/burn/drv/capcom/d_cps1.cpp|
| cawingbl	|  	| Carrier Air Wing (bootleg set 1 (with 2xYM2203 + 2xMSM5205), U.S. navy 901012 etc)| cawing| 1990| bootleg| CPS1		| 					| caw2.bin| src/burn/drv/capcom/d_cps1.cpp|
| cawingb2	|  	| Carrier Air Wing (bootleg set 2 (with 2xYM2203 + 2xMSM5205), U.S. navy 901012 etc)| cawing| 1990| bootleg| CPS1		| 					| 8.8| src/burn/drv/capcom/d_cps1.cpp|
| cawingr1	|  	| Carrier Air Wing (U.S. navy 901009 etc)		| cawing	| 1990	| Capcom	| CPS1		| 					| cae_30.11f| src/burn/drv/capcom/d_cps1.cpp|
| cawing	|  	| Carrier Air Wing (U.S. navy 901012 etc)		| 		| 1990	| Capcom	| CPS1		| 					| cae_30a.11f| src/burn/drv/capcom/d_cps1.cpp|
| cawingur1	|  	| Carrier Air Wing (U.S. navy 901012 USA)		| cawing	| 1990	| Capcom	| CPS1		| 					| cau_30a.11f| src/burn/drv/capcom/d_cps1.cpp|
| cawingu	|  	| Carrier Air Wing (U.S. navy 901130 USA)		| cawing	| 1990	| Capcom	| CPS1		| 					| cau_36.12f| src/burn/drv/capcom/d_cps1.cpp|
| cps1demo	|  	| Chaos Demo (CPS-1)					| 		| 2000	| Chaos		| CPS1		| 					| cd30-36.bin| src/burn/drv/capcom/d_cps1.cpp|
| chikij	|  	| Chiki Chiki Boys (900619 Japan)			| mtwins	| 1990	| Capcom	| CPS1		| 					| chj_36a.12f| src/burn/drv/capcom/d_cps1.cpp|
| choko		|  	| Choko (010820 Japan)					| 		| 2001	| Mitchell	| CPS2		| 					| tkoj.03| src/burn/drv/capcom/d_cps2.cpp|
| cybotsj	|  	| Cyberbots - fullmetal madness (950420 Japan)		| cybots	| 1995	| Capcom	| CPS2		| 					| cybj.03| src/burn/drv/capcom/d_cps2.cpp|
| cybots	|  	| Cyberbots - fullmetal madness (950424 Euro)		| 		| 1995	| Capcom	| CPS2		| 					| cybe.03| src/burn/drv/capcom/d_cps2.cpp|
| cybotsud	|  	| Cyberbots - fullmetal madness (950424 USA Phoenix Edition)| cybots	| 1995	| bootleg	| CPS2		| 					| cybu_d.03| src/burn/drv/capcom/d_cps2.cpp|
| cybotsu	|  	| Cyberbots - fullmetal madness (950424 USA)		| cybots	| 1995	| Capcom	| CPS2		| 					| cybu.03| src/burn/drv/capcom/d_cps2.cpp|
| cybotsjd	|  	| Cyberbots - fullmetal madness (Japan 950424) (decrypted bootleg)| cybots| 1995	| bootleg	| CPS2		| 					| cybj_d.03| src/burn/drv/capcom/d_cps2.cpp|
